id,appointmentId,alunoId,status,confirmedAt,notes,createdAt
1,1,30090,convidado,,,2026-03-06 02:27:54
2,1,30099,recusado,,,2026-03-06 02:27:54
3,1,30100,convidado,,,2026-03-06 02:27:54
4,1,30035,convidado,,,2026-03-06 02:27:54
5,1,30040,convidado,,,2026-03-06 02:27:54
30001,30001,30040,convidado,,,2026-03-06 19:29:48
60001,60001,510010,convidado,,,2026-03-09 15:43:40
90001,90001,30057,confirmado,2026-03-20 18:07:44,,2026-03-10 13:05:06
90002,90001,30085,convidado,,,2026-03-10 13:05:06
90003,90001,30071,convidado,,,2026-03-10 13:05:06
120001,120001,30043,convidado,,,2026-03-13 12:38:11
120002,120001,30045,convidado,,,2026-03-13 12:38:11
120003,120002,30038,convidado,,,2026-03-13 12:44:16
120004,120002,30039,convidado,,,2026-03-13 12:44:16
120005,120002,30034,convidado,,,2026-03-13 12:44:16
120006,120003,30046,convidado,,,2026-03-13 12:45:42
120007,120003,30036,convidado,,,2026-03-13 12:45:42
120008,120003,30037,convidado,,,2026-03-13 12:45:42
120009,120004,30061,convidado,,,2026-03-13 12:47:16
120010,120004,30068,confirmado,2026-03-16 14:59:37,,2026-03-13 12:47:16
120011,120004,30050,convidado,,,2026-03-13 12:47:16
120012,120005,30098,confirmado,2026-03-13 19:31:20,,2026-03-13 12:58:30
120013,120005,30094,confirmado,2026-03-16 17:59:42,,2026-03-13 12:58:30
120014,120005,30097,confirmado,2026-03-16 17:55:56,,2026-03-13 12:58:30
120015,120006,30086,convidado,,,2026-03-13 13:58:29
120016,120006,30075,convidado,,,2026-03-13 13:58:29
120017,120006,30054,convidado,,,2026-03-13 13:58:29
120018,120007,30014,convidado,,,2026-03-13 14:04:12
120019,120007,30026,convidado,,,2026-03-13 14:04:12
120020,120007,30033,convidado,,,2026-03-13 14:04:12
120021,120007,30016,convidado,,,2026-03-13 14:04:12
120022,120007,30015,convidado,,,2026-03-13 14:04:12
120023,120007,30012,convidado,,,2026-03-13 14:04:12
120024,120007,30024,convidado,,,2026-03-13 14:04:12
120025,120007,30030,convidado,,,2026-03-13 14:04:12
120026,120007,30005,convidado,,,2026-03-13 14:04:12
120027,120008,30023,convidado,,,2026-03-13 14:29:32
120028,120008,30001,convidado,,,2026-03-13 14:29:32
120029,120008,30017,convidado,,,2026-03-13 14:29:32
120030,120008,30022,confirmado,2026-03-17 22:56:25,,2026-03-13 14:29:32
120031,120008,30029,convidado,,,2026-03-13 14:29:32
120032,120008,30002,confirmado,2026-03-16 20:41:02,,2026-03-13 14:29:32
120033,120008,30031,convidado,,,2026-03-13 14:29:32
120034,120008,30009,confirmado,2026-03-20 01:31:04,,2026-03-13 14:29:32
120035,120009,30019,convidado,,,2026-03-13 14:33:33
120036,120009,30013,convidado,,,2026-03-13 14:33:33
120037,120009,30006,convidado,,,2026-03-13 14:33:33
120038,120009,30025,convidado,,,2026-03-13 14:33:33
120039,120009,30027,convidado,,,2026-03-13 14:33:33
120040,120009,30028,convidado,,,2026-03-13 14:33:33
120041,120010,30020,convidado,,,2026-03-13 14:41:00
120042,120010,30021,convidado,,,2026-03-13 14:41:00
120043,120010,30011,convidado,,,2026-03-13 14:41:00
120044,120010,30003,convidado,,,2026-03-13 14:41:00
120045,120010,30008,convidado,,,2026-03-13 14:41:00
120046,120010,30018,convidado,,,2026-03-13 14:41:00
120047,120010,30004,convidado,,,2026-03-13 14:41:00
120048,120010,30007,convidado,,,2026-03-13 14:41:00
150001,150001,30083,convidado,,,2026-03-13 18:27:56
150002,150001,30084,convidado,,,2026-03-13 18:27:56
180001,180001,30097,confirmado,2026-03-16 18:02:21,,2026-03-16 18:02:21
180002,180002,30041,convidado,,,2026-03-16 18:37:11
180003,180002,30042,convidado,,,2026-03-16 18:37:11
180004,180003,330001,convidado,,,2026-03-16 19:34:44
180005,180004,570032,convidado,,,2026-03-16 22:59:16
210001,210001,30048,convidado,,,2026-03-17 11:42:13
210002,210001,30051,confirmado,2026-03-17 14:19:46,,2026-03-17 11:42:13
210003,210001,30072,convidado,,,2026-03-17 11:42:13
240001,240001,570089,convidado,,,2026-03-17 19:55:01
270002,270002,30098,confirmado,2026-03-19 13:56:27,,2026-03-18 13:30:55
270003,270002,30097,convidado,,,2026-03-18 13:30:55
270004,270002,30094,confirmado,2026-03-23 14:00:10,,2026-03-18 13:30:55
300001,300001,660014,convidado,,,2026-03-19 21:34:58
330001,330001,30048,convidado,,,2026-03-20 17:58:58
330002,330001,30051,convidado,,,2026-03-20 17:58:58
330003,330001,30072,convidado,,,2026-03-20 17:58:58
360001,360001,30060,convidado,,,2026-03-23 11:42:38
360002,360001,30070,convidado,,,2026-03-23 11:42:38
360003,360001,30074,convidado,,,2026-03-23 11:42:38
360004,360002,570089,convidado,,,2026-03-23 22:35:19
390001,390001,660014,convidado,,,2026-03-24 13:18:26
390002,390002,30020,convidado,,,2026-03-24 13:57:12
390003,390002,30021,convidado,,,2026-03-24 13:57:12
390004,390002,30011,convidado,,,2026-03-24 13:57:12
390005,390002,30003,convidado,,,2026-03-24 13:57:12
390006,390002,30018,convidado,,,2026-03-24 13:57:12
390007,390002,30004,convidado,,,2026-03-24 13:57:12
390008,390002,30007,convidado,,,2026-03-24 13:57:12
390009,390002,30008,convidado,,,2026-03-24 13:57:12
390010,390003,30023,convidado,,,2026-03-24 13:59:21
390011,390003,30001,convidado,,,2026-03-24 13:59:21
390012,390003,30017,convidado,,,2026-03-24 13:59:21
390013,390003,30029,convidado,,,2026-03-24 13:59:21
390014,390003,30002,convidado,,,2026-03-24 13:59:21
390015,390003,30022,convidado,,,2026-03-24 13:59:21
390016,390003,30031,convidado,,,2026-03-24 13:59:21
390017,390003,30009,convidado,,,2026-03-24 13:59:21
390018,390004,30013,convidado,,,2026-03-24 14:02:45
390019,390004,30019,convidado,,,2026-03-24 14:02:45
390020,390004,30025,convidado,,,2026-03-24 14:02:45
390021,390004,30006,convidado,,,2026-03-24 14:02:45
390022,390004,30027,convidado,,,2026-03-24 14:02:45
390023,390004,30028,convidado,,,2026-03-24 14:02:45
390024,390005,30024,convidado,,,2026-03-24 14:05:59
390025,390005,30014,convidado,,,2026-03-24 14:05:59
390026,390005,30015,convidado,,,2026-03-24 14:05:59
390027,390005,30005,convidado,,,2026-03-24 14:05:59
390028,390005,30030,convidado,,,2026-03-24 14:05:59
390029,390005,30033,convidado,,,2026-03-24 14:05:59
390030,390005,30012,convidado,,,2026-03-24 14:05:59
390031,390005,30026,convidado,,,2026-03-24 14:05:59
390032,390005,30016,convidado,,,2026-03-24 14:05:59
390033,390006,690031,convidado,,,2026-03-24 16:51:16
420001,420001,30067,convidado,,,2026-03-25 01:22:12
