id,alunoId,scoreD,scoreI,scoreS,scoreC,perfilPredominante,perfilSecundario,completedAt,createdAt,updatedAt,ciclo,scoreBrutoD,scoreBrutoI,scoreBrutoS,scoreBrutoC,indiceConsistencia,alertaBaixaDiferenciacao,metodoCalculo
1,270001,75.00,79.00,50.00,64.00,I,D,2026-03-08 03:15:30,2026-03-08 03:15:30,2026-03-08 03:15:30,1,,,,,,0,ipsativo
30001,330001,54.00,25.00,86.00,43.00,S,D,2026-03-08 15:35:02,2026-03-08 15:35:02,2026-03-08 15:35:02,1,,,,,,0,ipsativo
60001,90013,100.00,100.00,100.00,100.00,D,I,2026-03-08 19:44:26,2026-03-08 19:44:26,2026-03-08 19:44:26,1,,,,,,0,ipsativo
90003,510010,84.00,46.00,34.00,36.00,D,I,2026-03-09 15:39:50,2026-03-09 15:39:50,2026-03-09 15:39:50,1,19,-2,-9,-8,47,0,ipsativo
120001,30066,43.00,12.00,88.00,88.00,S,C,2026-03-11 14:36:00,2026-03-11 14:36:00,2026-03-11 14:36:00,1,,,,,,0,etalent
150001,30091,57.00,32.00,43.00,68.00,C,D,2026-03-12 20:29:42,2026-03-12 20:29:42,2026-03-12 20:29:42,1,4,-10,-4,10,32,0,ipsativo
180001,30068,79.00,25.00,50.00,46.00,D,S,2026-03-16 15:12:15,2026-03-16 15:12:15,2026-03-16 15:12:15,1,16,-14,0,-2,44,0,ipsativo
180013,570032,57.00,54.00,46.00,43.00,D,I,2026-03-16 22:04:09,2026-03-16 22:04:09,2026-03-16 22:04:09,1,4,2,-2,-4,13,1,ipsativo
240003,570089,75.00,20.00,46.00,59.00,D,C,2026-03-17 19:33:53,2026-03-17 19:33:53,2026-03-17 19:33:53,1,14,-17,-2,5,47,0,ipsativo
300006,660014,59.00,20.00,41.00,80.00,C,D,2026-03-19 21:30:09,2026-03-19 21:30:09,2026-03-19 21:30:09,1,5,-17,-5,17,51,0,ipsativo
450001,690031,36.00,41.00,59.00,64.00,C,S,2026-03-24 14:52:13,2026-03-24 14:52:13,2026-03-24 14:52:13,1,-8,-5,5,8,27,0,ipsativo
450004,30010,93.00,46.00,23.00,38.00,D,I,2026-03-24 20:11:45,2026-03-24 20:11:45,2026-03-24 20:11:45,1,24,-2,-15,-7,60,0,ipsativo
