id,externalId,title,eventType,eventDate,programId,trilhaId,createdAt,videoLink
30001,,2025/06 - Liderança Tóxica com Emerson Dias,webinar,2025-04-02 00:00:00,,,2026-02-27 02:09:19,
30002,,2025/07 - Habilidades da Liderança e Assédio Moral com Sérgio,webinar,2025-04-23 00:00:00,,,2026-02-27 02:09:19,
30003,,2025/08 - LinkedIn e Carreira com Gislaine,webinar,2025-05-15 00:00:00,,,2026-02-27 02:09:19,
30004,,2025/09 - Foco x Procrastinação com Emerson Dias,webinar,2025-05-30 00:00:00,,,2026-02-27 02:09:19,
30005,,2025/10 - Do Talento ao Resultado com Fabio Barbosa,webinar,2025-06-11 00:00:00,,,2026-02-27 02:09:19,
30006,,2025/11 - A Conexão das Gerações com Cíntia Gandarely,webinar,2025-06-25 00:00:00,,,2026-02-27 02:09:20,
30007,,2025/12 - Feedback - com Sandra Pitman,webinar,2025-07-08 00:00:00,,,2026-02-27 02:09:20,
30008,,"2025/13 - Saúde Mental, Estresse e Burnout com Otácia Azevedo",webinar,2025-07-23 00:00:00,,,2026-02-27 02:09:20,
30009,,2025/14 - Liderança colaborativa com Sergio David,webinar,2025-08-07 00:00:00,,,2026-02-27 02:09:20,
30010,,2025/15 - Mindfulness para o Gestor Com Otácia,webinar,2025-08-20 00:00:00,,,2026-02-27 02:09:20,
30011,,2025/16 - IA para Equipes Comerciais com Giovanna Vieira,webinar,2025-09-03 00:00:00,,,2026-02-27 02:09:20,
30012,,2025/17 - Neurocomunicação com Iza Nascimento,webinar,2025-09-17 00:00:00,,,2026-02-27 02:09:20,
30013,,2025/18 - Mindfulness na Comunicação e no Tempo com Otácia,webinar,2025-10-01 00:00:00,,,2026-02-27 02:09:20,
30014,,2025/19 - Aula 01 – Estrutura e Conceitos de Projetos de Inovação com Emerson Dias,curso_online,2025-10-15 00:00:00,,,2026-02-27 02:09:20,
30015,,2025/20 - Aula 02 – Diagnóstico e Estruturação com Emerson Dias,curso_online,2025-11-05 00:00:00,,,2026-02-27 02:09:20,
30016,,2025/21 - Aula 03 – Planejamento e Implementação com Emerson Dias,curso_online,2025-11-19 00:00:00,,,2026-02-27 02:09:20,
30017,,"2025/22 - Aula 04 – Monitoramento, Avaliação e Encerramento com Emerson Dias",curso_online,2025-12-03 00:00:00,,,2026-02-27 02:09:20,
30018,,"2025/23 - Felicidade e Promessas de Final de Ano, com Emerson Dias",webinar,2025-12-10 00:00:00,,,2026-02-27 02:09:20,
30019,,2026/01 - Aula 01 – O Código de Aprendizagem - O Preparo,curso_online,2026-01-21 00:00:00,,,2026-02-27 02:09:20,
30020,,2026/02 - Aula 02 – O Código de Aprendizagem - A Execução,curso_online,2026-01-28 00:00:00,,,2026-02-27 02:09:20,
30021,,2026/03 - Aula 01 - Resiliência e Proatividade na Prática Organizacional,curso_online,2026-02-19 00:00:00,,,2026-02-27 02:09:20,
30022,,2026/04 - Aula 02 -  Resiliência e Proatividade na Prática Organizacional,curso_online,2026-02-26 00:00:00,,,2026-02-27 02:09:21,
30023,,2025/05 - Inteligência Emocional com Sergio David,webinar,2025-03-18 00:00:00,,,2026-02-27 02:09:21,
30028,,2025/01 - Gestão do Tempo com Edson Herreiro,webinar,2024-10-30 00:00:00,,,2026-02-27 02:09:21,
30029,,2025/02 - Delegação com Márcia Fernandes,webinar,2024-11-13 00:00:00,,,2026-02-27 02:09:21,
30030,,2025/03 - Motivação e Engajamento com Sandra Pitman,webinar,2024-11-27 00:00:00,,,2026-02-27 02:09:21,
30031,,2025/04 - Experiências e Trajetórias com Andressa Cristina dos Santos,webinar,2025-02-14 00:00:00,,,2026-02-27 02:09:21,
60001,sw-60001,2026/05 - Aula 03 - Resiliência e Proatividade na Prática Organizacional,webinar,2026-03-11 00:00:00,,,2026-03-11 16:48:56,https://www.youtube.com/watch?v=OCLL8mnZL10
90001,sw-90001,2026/06 - Aula 04 - Resiliência e Proatividade na Prática Organizacional,webinar,2026-03-25 00:00:00,,,2026-03-19 16:55:10,https://www.youtube.com/watch?v=5REu49iK7XQ
