id,assessmentCompetenciaId,alunoId,nivelAnterior,nivelNovo,atualizadoPor,sessaoReferencia,observacao,createdAt
1,676,30047,30.00,30.00,1,,,2026-02-27 22:08:05
30001,62130,30041,66.00,66.00,1,,,2026-03-17 01:10:53
30002,62131,30041,0.00,0.00,1,,,2026-03-17 01:12:04
30003,62130,30041,66.00,66.00,1,,,2026-03-17 01:12:17
60001,62283,30080,100.00,100.00,690412,,,2026-03-18 22:41:16
90001,210001,660014,20.00,20.00,690412,,,2026-03-20 17:34:41
90002,210002,660014,30.00,30.00,690412,,,2026-03-20 17:35:31
90003,210003,660014,30.00,30.00,690412,,,2026-03-20 17:36:00
90004,210001,660014,20.00,20.00,690412,,,2026-03-20 17:36:23
90005,210002,660014,30.00,30.00,690412,,,2026-03-20 17:36:35
90006,210003,660014,30.00,30.00,690412,,,2026-03-20 17:36:53
90007,210004,660014,30.00,30.00,690412,,,2026-03-20 17:37:19
90008,210003,660014,30.00,30.00,690412,,,2026-03-20 17:37:38
