id,consultorId,availabilityId,scheduledDate,startTime,endTime,googleMeetLink,type,title,description,status,createdBy,createdAt,updatedAt
1,39,,2026-03-10,09:00,10:00,https://meet.google.com/vsa-iuvq-gpd,grupo,Treinamento Ecossistema,teste de funcionalidade no sistema,cancelado,690412,2026-03-06 02:27:54,2026-03-06 02:28:03
30001,39,,2026-03-06,10:00,11:00,https://meet.google.com/uva-qfjc-tmz?authuser=0,grupo,EMBRAPII - 5ªT [CICLO I] Vanessa Bertholdo Vargas,EMBRAPII - 5ªT [CICLO I] Vanessa Bertholdo Vargas,cancelado,690412,2026-03-06 19:29:48,2026-03-06 19:31:08
60001,32,,2026-03-11,09:00,10:00,https://meet.google.com/,grupo,Encontro Inicial - Onboarding,Primeiro encontro de mentoria agendado pelo onboarding,agendado,3120092,2026-03-09 15:43:40,2026-03-09 15:43:40
90001,35,,2026-03-20,09:00,15:00,https://meet.google.com/wvf-rrdr-xvh?hs=122&authuser=1,grupo,SEBRAE TO - Projeto Ecossistema,Acompanhamento da Fase de Planejamento e execução do Projeto,agendado,2220114,2026-03-10 13:05:06,2026-03-10 13:05:06
120001,28,,2026-03-20,10:15,11:00,,grupo,EMBRAPII - [Projetos] 6ª SESSÃO [Thiago Fideles e Luan Saldanha],,agendado,720421,2026-03-13 12:38:11,2026-03-13 12:38:11
120002,28,,2026-03-24,10:15,11:00,,grupo,"EMBRAPII - [Projetos] 6ª SESSÃO [Etienne, Allan e Fábio]",,agendado,720421,2026-03-13 12:44:16,2026-03-13 12:44:16
120003,28,,2026-03-30,11:00,11:45,,grupo,"EMBRAPII - [Projetos] 6ª SESSÃO [Carolina, Diego e Paulo]",,agendado,720421,2026-03-13 12:45:42,2026-03-13 12:45:42
120004,28,,2026-03-24,11:00,11:45,,grupo,"SEBRAETO - [Projetos] 6ª SESSÃO [Leonardo, Alorran e Eliwânia]",,agendado,720421,2026-03-13 12:47:16,2026-03-13 12:47:16
120005,28,,2026-03-18,09:00,09:45,meet.google.com/jae-asuu-buf,grupo," SEBRAETO - [Projetos] 1ª SESSÃO [Luciana, Mirelle e Wandemberg]",,confirmado,720421,2026-03-13 12:58:30,2026-03-16 17:59:42
120006,28,,2026-03-25,10:15,11:00,https://meet.google.com/rcx-rweh-zys,grupo,"SEBRAETO - [Projetos] 6ª SESSÃO [Andreia, Denise e Thais]",,agendado,720421,2026-03-13 13:58:29,2026-03-13 13:58:29
