id,programId,consultorId,tipoSessao,valor,descricao,validoDesde,validoAte,isActive,createdBy,createdAt,updatedAt
4,90002,39,individual_normal,80.00,,2026-03-01 00:00:00,2027-03-01 00:00:00,0,1,2026-03-24 01:00:20,2026-03-24 01:09:31
6,90002,39,grupo_assessment,100.00,,2026-03-01 00:00:00,2027-03-01 00:00:00,0,1,2026-03-24 01:02:56,2026-03-24 01:35:39
7,90002,39,individual_normal,85.00,,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 01:10:12,2026-03-24 01:33:09
8,90002,39,individual_normal,1500.00,Regra atualizada pelo teste,2099-01-01 00:00:00,2099-12-31 00:00:00,0,1,2026-03-24 01:17:51,2026-03-24 01:17:51
9,90002,39,individual_assessment,150.00,Sessões de Assessment iniciais e finais ,2026-03-24 00:00:00,2027-03-31 00:00:00,1,1,2026-03-24 01:34:13,2026-03-24 01:34:13
10,90002,39,grupo_normal,100.00,,2026-03-24 00:00:00,2027-01-31 00:00:00,1,1,2026-03-24 01:35:19,2026-03-24 01:35:19
11,90002,39,individual_normal,1500.00,Regra atualizada pelo teste,2099-01-01 00:00:00,2099-12-31 00:00:00,0,1,2026-03-24 02:31:21,2026-03-24 02:31:21
30001,16,28,individual_normal,85.00,O programa de mentoria tem previsão de 1 tutoria mês com duração de 00:h45,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 11:58:53,2026-03-24 11:58:53
30002,16,28,individual_assessment,100.00,O programa de mentoria prevê esta sesssão Alinhamento de Trilha com duração de 1h00.,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 12:02:33,2026-03-24 12:38:10
30003,16,28,grupo_normal,150.00,O programa de mentoria prevê sessões em grupo mensais com duração de 1h00,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 12:04:27,2026-03-24 12:04:27
30004,17,28,individual_normal,85.00,O programa de mentoria tem previsão de 1 tutoria mês com duração de 00:h45,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 12:05:44,2026-03-24 12:05:44
30005,17,28,individual_assessment,100.00,O programa de mentoria prevê esta sesssão Alinhamento de Trilha com duração de 1h00.,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 12:06:38,2026-03-24 12:38:31
30006,17,28,grupo_normal,100.00,O programa de mentoria prevê sessões em grupo mensais com duração de 1h00,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 12:08:20,2026-03-24 12:08:20
30007,18,28,individual_normal,85.00,O programa de mentoria tem previsão de 1 tutoria mês com duração de 00:h45,2026-03-01 00:00:00,2027-03-30 00:00:00,1,1,2026-03-24 12:12:56,2026-03-24 12:12:56
30008,18,28,individual_assessment,100.00,O programa de mentoria prevê esta sesssão Alinhamento de Trilha com duração de 1h00.,2026-03-01 00:00:00,2027-03-31 00:00:00,1,1,2026-03-24 12:13:37,2026-03-24 12:38:49
