id,name,type,format,generatedBy,scopeId,fileKey,fileUrl,parameters,createdAt,programId
1,Performance da Equipe,individual,pdf,690412,,,,,2026-03-05 21:35:31,
2,Performance da Equipe,individual,excel,690412,,,,,2026-03-05 21:36:36,
30001,PERFORMANCE 1,individual,pdf,660170,,,,,2026-03-06 04:42:31,
30003,Performance da Equipe,manager,excel,660170,,,,,2026-03-06 05:19:41,
30007,Team Report,manager,excel,2,,reports/2/1772775740124-Team_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:42:19,
30011,Team Report,manager,excel,2,,reports/2/1772775754570-Team_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:42:34,
30014,Test Admin Report,admin,excel,1,,reports/1/1772776608286-Test_Admin_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:56:47,
30015,Test Manager Report,manager,excel,1,,reports/1/1772776608822-Test_Manager_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:56:48,
30016,Test Individual Report,individual,excel,1,30001,reports/1/1772776609338-Test_Individual_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:56:48,
30017,Team Report,manager,excel,2,,reports/2/1772776609849-Team_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:56:49,
30018,Test Admin Report,admin,excel,1,,reports/1/1772776781824-Test_Admin_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:59:40,
30019,Test Manager Report,manager,excel,1,,reports/1/1772776783207-Test_Manager_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:59:41,
30020,Test Individual Report,individual,excel,1,30001,reports/1/1772776783759-Test_Individual_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:59:43,
30021,Team Report,manager,excel,2,,reports/2/1772776785109-Team_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 05:59:43,
30022,Teste3,manager,excel,660170,,reports/660170/1772777169144-Teste3.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/reports/660170/1772777169144-Teste3.xlsx,,2026-03-06 06:06:05,
30023,Test Admin Report,admin,excel,1,,reports/1/1772777594516-Test_Admin_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 06:13:13,
30024,Test Manager Report,manager,excel,1,,reports/1/1772777595919-Test_Manager_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 06:13:14,
30025,Test Individual Report,individual,excel,1,30001,reports/1/1772777596457-Test_Individual_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 06:13:15,
30026,Team Report,manager,excel,2,,reports/2/1772777597808-Team_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 06:13:16,
60001,Relatório Teste Julia,manager,excel,660170,,reports/660170/1772802726800-Relat_rio_Teste_Julia.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/reports/660170/1772802726800-Relat_rio_Teste_Julia.xlsx,,2026-03-06 13:12:06,
60002,Relatório Teste Julia,individual,excel,660170,30066,reports/660170/1772802752341-Relat_rio_Teste_Julia.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/reports/660170/1772802752341-Relat_rio_Teste_Julia.xlsx,,2026-03-06 13:12:32,
90001,Test Admin Report,admin,excel,1,,reports/1/1772830066149-Test_Admin_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 20:47:44,
90002,Test Manager Report,manager,excel,1,,reports/1/1772830067790-Test_Manager_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 20:47:46,
90003,Test Individual Report,individual,excel,1,30001,reports/1/1772830068335-Test_Individual_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 20:47:47,
90004,Team Report,manager,excel,2,,reports/2/1772830069931-Team_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 20:47:48,
90005,Test Admin Report,admin,excel,1,,reports/1/1772830685178-Test_Admin_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 20:58:03,
90006,Test Manager Report,manager,excel,1,,reports/1/1772830686816-Test_Manager_Report.xlsx,https://mock-s3.example.com/test-report.xlsx,,2026-03-06 20:58:05,
